Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
MTERF2	MTERFD3	NM_025198	80298
MTERF3	MTERFD1	NM_015942	51001
MTERF4	MTERFD2	NM_182501	130916
MTF1		NM_005955	4520
MTF2		NM_007358	22823
MTFMT		NM_139242	123263
MTFP1		NM_016498	51537
MTFR1		NM_014637	9650
MTFR1L	FAM54B	NM_019557	56181
MTFR2	DUFD1, FAM54A	NM_138419	113115
MTG1	GTPBP7	NM_138384	92170
MTG2	GTPBP5	NM_015666	26164
MTH1			
MTHFC			
MTHFD			
MTHFD1	MTHFC, MTHFD		4522
MTHFD1L	FTHFSDC1	NM_015440	25902
MTHFD1P1	MTHFDL1, MTHFDP1		4523
MTHFD2			10797
MTHFD2L		NM_001004346	441024
MTHFD2P1			100287639
MTHFD2P2			106480237
MTHFD2P3			106481665
MTHFD2P4			100131135
MTHFD2P5			442707
MTHFD2P6			100130042
MTHFD2P7			442098
MTHFDP1			
MTHFR		NM_005957	4524
MTHFS		NM_006441	10588
MTHFSD		NM_022764	64779
MTHPR			
MTHSP1			
MTHSP2			
MTIF2		NM_002453	4528
MTIF2P1		NG_002684	80713
MTIF3		NM_152912	219402
MTL3P	MTL3		4531
MTL4			
MTLN	NCRNA00116, LINC00116, SMIM37	NM_001355251	205251
MTLSP			
MTM1		NM_000252	4534
MTMR1		NM_003828, NM_176789	8776
MTMR2	CMT4B	NM_016156	8898
MTMR3		NM_021090	8897
MTMR4		NM_004687	9110
MTMR6		NM_004685	9107
MTMR7		NM_004686	9108
MTMR8		NM_017677	55613
MTMR9	C8orf9, MTMR8	NM_015458	66036
MTMR9LP	MTMR9L	NR_026850	339483
MTMR10		NM_017762	54893
MTMR11		NM_181873	10903
MTMR12	PIP3AP	NM_019061	54545
MTMR14	C3orf29	NM_022485	64419
MTND1P1			100499468
MTND1P2			100873170
MTND1P3			100288984
MTND1P4			100873171
MTND1P5			100873174
MTND1P6			100873173
MTND1P7			100873172
MTND1P8			100287461
MTND1P9			100873221
MTND1P10			100873343
MTND1P11			100873212
MTND1P12			106480744
MTND1P13			100887745
MTND1P14			100873337
MTND1P15			100288998
MTND1P16			100873213
MTND1P17			100873342
MTND1P18			100873338
MTND1P19			100873220
MTND1P20			100873339
MTND1P21			100873340
MTND1P22			100287591
MTND1P23			100887749
MTND1P24			100873341
MTND1P25			100288950
MTND1P26			100873214
MTND1P27			100288227
MTND1P28			100873215
MTND1P29			100873216
MTND1P30			100507157
MTND1P31			100873217
MTND1P32		NG_031905	100856881
MTND1P33			100873218
MTND1P34			100873219
MTND1P35			106480433
MTND1P36			100506721
MTND1P37			109729170
MTND2P1			387315
MTND2P2		NG_002320	56168
MTND2P3		NG_023505	100499457
MTND2P4			100873175
MTND2P5			100873176
MTND2P6			100873177
MTND2P7			100873179
MTND2P8			100873178
MTND2P9			100884155
MTND2P10			100873238
MTND2P11			100873222
MTND2P12			100873344
MTND2P13			100873345
MTND2P14			100873223
MTND2P15			100873346
MTND2P16			100873347
MTND2P17			100873348
MTND2P18			100873224
MTND2P19			100873225
MTND2P20			100873226
MTND2P21			100873227
MTND2P22			100873228
MTND2P23			100873229
MTND2P24			100873230
MTND2P25			100873231
MTND2P26			100873349
MTND2P27			100873232
MTND2P28			100652939
MTND2P29			100873233
MTND2P30			100873234
MTND2P31			100873235
MTND2P32			100873237
MTND2P33			100873236
MTND2P34			107161146
MTND2P35			107161147
MTND2P36			107161148
MTND2P37			107161150
MTND2P38			107075276
MTND2P39			107075312
MTND2P40			107075280
MTND2P41			109729121
MTND3P1			100873208
MTND3P2			100873180
MTND3P3			100873187
MTND3P4			100873181
MTND3P5			100873186
MTND3P6			100873182
MTND3P7			100873183
MTND3P8			100873185
MTND3P9			100873184
MTND3P10			100873239
MTND3P11			107161160
MTND3P12			107075160
MTND3P13			107075277
MTND3P14			107161161
MTND3P15			107161162
MTND3P16			107075278
MTND3P17			107075279
MTND3P18			107161164
MTND3P19			107075161
MTND3P20			107075294
MTND3P21			107075198
MTND3P22			107075314
MTND3P23			107075295
MTND3P24			107075199
MTND3P25			107075297
MTND4LP1			106478909
MTND4LP2			107075098
MTND4LP3			107075245
MTND4LP4			107131120
MTND4LP5			107075235
MTND4LP6			107131121
MTND4LP7			107075236
MTND4LP8			107131124
MTND4LP9			107075237
MTND4LP10			107075099
MTND4LP11			107075238
MTND4LP12			107075239
MTND4LP13			107075100
MTND4LP14			107075305
MTND4LP15			107131123
MTND4LP16			107075210
MTND4LP17			107075240
MTND4LP18			107075101
MTND4LP19			107075241
MTND4LP20			107075242
MTND4LP21			107075306
MTND4LP22			107075102
MTND4LP23			107133487
MTND4LP24			107075103
MTND4LP25			107075243
MTND4LP26			107075104
MTND4LP27			107133488
MTND4LP28			107133489
MTND4LP29			107133490
MTND4LP30			107075244
MTND4LP31			107075296
MTND4LP32			109729156
MTND4P1			100873211
MTND4P2			100873188
MTND4P3			100873189
MTND4P4			100873190
MTND4P5			100873191
MTND4P6			100873192
MTND4P7			100873195
MTND4P8			100873194
MTND4P9			100873193
MTND4P10			100873256
MTND4P11			100873255
MTND4P12			100293090
MTND4P13		NG_032145	100862853
MTND4P14		NG_029701	100653489
MTND4P15			100873240
MTND4P16			100873241
MTND4P17			100873242
MTND4P18			100873350
MTND4P19			100873351
MTND4P20			100873352
MTND4P21			100873243
MTND4P22			100873244
MTND4P23			100873245
MTND4P24			100873254
MTND4P25			100873246
MTND4P26			100873247
MTND4P27			100873248
MTND4P28			100873249
MTND4P29			100873250
MTND4P30			100873251
MTND4P31			100873252
MTND4P32			100873253
MTND4P33			107075253
MTND4P34			107075308
MTND4P35			107075117
MTND4P36			107403074
MTND4P37			112163599
MTND4P38			112272562
MTND4P39			112163524
MTND4P40			112272547
MTND4P41			111188160
MTND5P1			100873206
MTND5P2			100873209
MTND5P3			100873210
MTND5P4			100873200
MTND5P5			100873201
MTND5P6			100873196
MTND5P7			100873197
MTND5P8			100873198
MTND5P9			100873199
MTND5P10			643031
MTND5P11			100506169
MTND5P12			100873257
MTND5P13			100873272
MTND5P14			100873258
MTND5P15			100873259
MTND5P16		NG_032146	100862854
MTND5P17			100873353
MTND5P18			100873271
MTND5P19			100873270
MTND5P20			100873269
MTND5P21			100873354
MTND5P22			100873260
MTND5P23			100873261
MTND5P24			100873262
MTND5P25			100873263
MTND5P26			100873268
MTND5P27			100873264
MTND5P28			100505755
MTND5P29			100873265
MTND5P30			100873266
MTND5P31			100873267
MTND5P32			107075254
MTND5P33			107075118
MTND5P34			107075255
MTND5P35			107075119
MTND5P36			107133491
MTND5P37			107133493
MTND5P38			107133495
MTND5P39			107133496
MTND5P40			107075256
MTND5P41			107075309
MTND5P42			109729157
MTND5P43			111188140
MTND5P44			112163614
MTND5P45			111188162
MTND5P46			112390311
MTND6P1			100499469
MTND6P2			106478941
MTND6P3			106478942
MTND6P4			106478943
MTND6P5			106480427
MTND6P6			106478944
MTND6P7			106478945
MTND6P8			106480726
MTND6P9			106478946
MTND6P10			106478947
MTND6P11			106480727
MTND6P12			106481743
MTND6P13			106480428
MTND6P14			106478948
MTND6P15			106478949
MTND6P16			106478950
MTND6P17			106480728
MTND6P18			106478951
MTND6P19			106481788
MTND6P20			106478952
MTND6P21			100873332
MTND6P22			107075261
MTND6P23			107133498
MTND6P24			107063611
MTND6P25			107075262
MTND6P26			107133500
MTND6P27			107133501
MTND6P28			107133503
MTND6P29			107133504
MTND6P30			107133505
MTND6P31			107133507
MTND6P32			107075200
MTND6P33			107075298
MTND6P34			112268489
MTND6P35			112163686
MTND6P36			
MTND6P37			112340375
MTNR1A			4543
MTNR1B			4544
MTO1		NM_012123	25821
MTOHR			
MTOLR			
MTOR	FRAP, FRAP2, FRAP1	NM_004958	2475
MTOR-AS1			100873935
MTPAP	PAPD1	NM_018109	55149
MTPN		NM_145808	136319
MTR		NM_000254	4548
MTRES1	C6orf203	NM_016487	51250
MTRES1P1			100129996
MTREX	KIAA0052, SKIV2L2	NM_015360	23517
MTRF1		NM_004294	9617
MTRF1L		NM_019041	54516
MTRF1LP1			100132520
MTRF1LP2			100130376
MTRNR2L1		NM_001190452	100462977
MTRNR2L2		NM_001190470	100462981
MTRNR2L3		NM_001190472	100462983
MTRNR2L4		NM_001190476	100463285
MTRNR2L5		NM_001190478	100463289
MTRNR2L6		NM_001190487	100463482
MTRNR2L7		NM_001190489	100288485
MTRNR2L8		NM_001190702	100463486
MTRNR2L9		NM_001190706	100463487
MTRNR2L10		NM_001190708	100463488
MTRNR2L11		NG_023152	100463489
MTRNR2L12		NG_023159	100463498
MTRNR2L13		NG_023160	100463500
MTRNR3			
MTRR			4552
MTS1			
MTSS1		NM_014751	9788
MTSS2	MTSS1L	NM_138383	92154
MTTAS			
MTTER			
MTTFH			
MTTFL			
MTTFX			
MTTFY			
MTTP	MTP	NM_000253	4547
MTURN	C7orf41	NM_152793	222166
MTUS1		NM_001001924	57509
MTUS2	KIAA0774	NM_001033602	23281
MTUS2-AS1			100874107
MTUS2-AS2			100874106
MTX			
MTX1	MTX	NM_198883	4580
MTX1P1	MTXP, MTX1P	NG_001160	4581
MTX2		NM_006554	10651
MTX3		NM_001010891	345778
MTXP			
MUC1	PUM, MCKD1	NM_002456	4582
MUC2		NM_002457	4583
MUC3			
MUC3A	MUC3	NM_005960	4584
MUC3B			57876
MUC4		NM_018406	4585
MUC5AC		NM_001304359	4586
MUC5B	MUC5	NM_002458	727897
MUC5B-AS1			112577518
MUC6		NM_005961	4588
MUC7		NM_152291	4589
MUC8			100129528
MUC9			
MUC11			
MUC12	MUC11	NM_001164462	10071
MUC12-AS1		NR_120519	102724094
MUC13	DRCC1	NM_033049	56667
MUC15		NM_145650	143662
MUC16		NM_024690	94025
MUC17		NM_001040105	140453
MUC19		NM_173600	283463
MUC20		NM_152673	200958
MUC20-OT1			111753249
MUC20P1			651714
MUC21	C6orf205	NM_001010909	394263
MUC22		NM_001198815	100507679
MUCL1		NM_058173	118430
MUCL3	DPCR1	NM_080870	135656
MUCRX			
MUL1	C1orf166	NM_024544	79594
MUM1			
MUPP			100129193
MUS81		NM_025128	80198
MUSK			4593
MUSTN1		NM_205853	389125
MUTYH		NM_012222	4595
MUW53			
MVB12A	FAM125A	NM_138401	93343
MVB12B	C9orf28, FAM125B	NM_033446	89853
MVD		NM_002461	4597
MVK		NM_000431	4598
MVP		NM_005115	9961
MX1			4599
MX2		NM_002463	4600
MXD1	MAD	NM_002357	4084
MXD3			83463
MXD4		NM_006454	10608
MXI1		NM_130439	4601
MXRA1			
MXRA2			
MXRA3			
MXRA4			
MXRA5		NM_015419	25878
MXRA5Y	MXRA5P, MXRA5P1	NG_002806	286544
MXRA6	MXRA6		
MXRA7		NM_001008529	439921
MXRA8		NM_032348	54587
MXS1			
MYADM		NM_138373	91663
MYADM-AS1			105372457
MYADML		XM_087171	151325
MYADML2		XR_041347	255275
MYB			4602
MYB-AS1	MYBAS, MYB-AS		100873904
MYBBP1A		NM_014520	10514
MYBL1		NM_001080416	4603
MYBL2		NM_002466	4605
MYBPC1			4604
MYBPC2		NM_004533	4606
MYBPC3	CMH4		4607
MYBPH		NM_004997	4608
MYBPHL		NM_001010985	343263
MYC			4609
MYCBP		NM_012333	26292
MYCBP2		NM_015057	23077
MYCBP2-AS1			100874212
MYCBP2-AS2			100874213
MYCBPAP		NM_032133	84073
MYCL	MYCL1	NM_001033082	4610
MYCL-AS1			105378668
MYCLK1			
MYCLP1	MYCL2, MYCL1P1	NG_009866	4611
MYCLP2			645136
MYCLP3	MYCL3		9964
MYCN	NMYC	NM_005378	4613
MYCNOS		NM_001329968	10408
MYCNUT	MYCNUN	NR_125783	103752554
MYCP			
MYCT1		NM_025107	80177
MYD88		NM_002468	4615
MYD118			
MYDGF	IL27, IL27w, C19orf10	NM_019107	56005
MYEF2		NM_016132	50804
MYEOV			26579
MYETS1			
MYF3			
MYF5		NM_005593	4617
MYF6		NM_002469	4618
MYH1		NM_005963	4619
MYH2	IBM3	NM_017534	4620
MYH3		NM_002470	4621
MYH4		NM_017533	4622
MYH5			
MYH6			4624
MYH7	CMH1, MPD1	NM_000257	4625
MYH7B		NM_020884	57644
MYH8		NM_002472	4626
MYH9	DFNA17	NM_002473	4627
MYH10			4628
MYH11		NM_001040113	4629
MYH12			
MYH13		NM_003802	8735
MYH14	DFNA4	NM_024729	79784
MYH15		NM_014981	22989
MYH16	MYH5	NR_002147	84176
MYHAS			100128560
MYHK			
MYHL			
MYL1		NM_079420	4632
MYL2		NM_000432	4633
MYL3		NM_000258	4634
MYL4		NM_001002841	4635
MYL5		NM_002477	4636
MYL6			4637
MYL6B		NM_002475	140465
MYL6BP1			100422437
MYL6P1	MYL6P	NG_000917	54043
MYL6P2		NG_021232	100431168
MYL6P3			100129561
MYL6P4		NG_009428	642627
MYL6P5			124685
MYL7		NM_021223	58498
MYL8P			442204
MYL9		NM_006097	10398
MYL10		NM_138403	93408
MYL12A		NM_006471	10627
MYL12AP1			157667
MYL12B		NM_033546	103910
MYL12BP1			645094
MYL12BP2			391722
MYLIP		NM_013262	29116
MYLK		NM_053025	4638
MYLK-AS1			100506826
MYLK-AS2			100873940
MYLK2		NM_033118	85366
MYLK3		NM_182493	91807
MYLK4		NM_001012418	340156
MYLKP1	MYLKP	NG_009879	9430
MYLL1			
MYLPF		NM_013292	29895
MYMK	TMEM8C	NM_001080483	389827
MYMX			101929726
MYMY1	MYMY		50960
MYMY2			
MYMY3			493818
MYNN		NM_018657	55892
MYO1A	MYHL, DFNA48	NM_005379	4640
MYO1B		NM_012223	4430
MYO1C			4641
MYO1D			4642
MYO1E		NM_004998	4643
MYO1F			4542
MYO1G			64005
MYO1H		NM_173597	283446
MYO3A	DFNB30	NM_017433	53904
MYO3B			140469
MYO3B-AS1		NR_110576	101929753
MYO5A	MYH12	NM_000259	4644
MYO5B			4645
MYO5BP1		XR_036959	441420
MYO5BP2		NG_021658	392335
MYO5BP3			441442
MYO5C		NM_018728	55930
MYO6	DFNA22, DFNB37	NM_004999	4646
MYO7A	USH1B, DFNB2, DFNA11	NM_000260	4647
MYO7B		NM_001080527	4648
MYO9A		NM_006901	4649
MYO9B	CELIAC4		4650
MYO10		NM_012334	4651
MYO15A	DFNB3, MYO15	NM_016239	51168
MYO15B		NR_003587	80022
MYO16		NM_015011	23026
MYO16-AS1			100885782
MYO16-AS2			100874067
MYO18A		NM_078471	399687
MYO18B		NM_032608	84700
MYO18B-AS1			105372963
MYO19	MYOHD1	NM_025109	80179
MYOC	GLC1A	NM_000261	4653
MYOCD		NM_153604	93649
MYOCD-AS1		NR_104605	101928418
MYOCOS			110806290
MYOD1	MYF3	NM_002478	4654
MYOF	FER1L3	NM_013451	26509
MYOG	MYF4	NM_002479	4656
MYOM1		NM_003803	8736
MYOM2		NM_003970	9172
MYOM3		NM_152372	127294
MYOM3-AS1			107985737
MYOPARR		NR_160550	114004358
MYORG	KIAA1161	NM_020702	57462
MYOSLID		NR_146555	105373853
MYOSLID-AS1		NR_110283	101927865
MYOT	TTID, LGMD1A, LGMD1	NM_006790	9499
MYOZ1	MYOZ		58529
MYOZ2	C4orf5		51778
MYOZ3		NM_001122853	91977
MYP1			4657
MYP2			4658
MYP3			8782
MYP4			393093
MYP5			404682
MYP6			
MYP7			553190
MYP8			553192
MYP9			553194
MYP10			553195
MYP11			594832
MYP12			664780
MYP13			677764
MYP14			100359407
MYP15			100294716
MYP16			100270641
MYP17			100359401
MYP18			100359406
MYPN		NM_032578	84665
MYPOP		NM_001012643	339344
MYRF	C11orf9	NM_013279	745
MYRF-AS1		NR_026882	26070
MYRFL	C12orf15, C12orf28	NM_182530	196446
MYRIP		NM_015460	25924
MYSA			
MYSB			
MYSM1		NM_001085487	114803
MYT1	PLPB1	NM_004535	4661
MYT1L		NM_015025	23040
MYT1L-AS1			730811
MYT2			
MYZAP		NM_001018100	100820829
MZB1		NM_016459	51237
MZF1	ZNF42	NM_198055	7593
MZF1-AS1		NR_027334	100131691
MZT1	C13orf37	NM_001071775	440145
MZT1P1			106480302
MZT1P2			101929581
MZT2A	FAM128A		653784
MZT2B	FAM128B	NM_025029	80097
N4BP1		NM_014664	9683
N4BP2		NM_018177	55728
N4BP2L1		NM_052818	90634
N4BP2L2		NM_014887	10443
N4BP2L2-IT2		NR_026928	116828
N4BP3		NM_015111	23138
N6AMT1	C21orf127, HEMK2	NM_013240	29104
NA	NAC		
NAA10	ARD1, ARD1A	NM_003491	8260
NAA11	ARD1B		84779
NAA15	NARG1	NM_057175	80155
NAA16	NARG1L	NM_018527	79612
NAA20	NAT5	NM_016100	51126
NAA25	C12orf30	NM_024953	80018
NAA30	C14orf35, NAT12	NM_001011713	122830
NAA35	MAK10	NM_024635	60560
NAA38	LSMD1	NM_032356	84316
NAA40	NAT11	NM_024771	79829
NAA50	MAK3, NAT13	NM_025146	80218
NAA60	NAT15	NM_024845	79903
NAA80	NAT6	NM_012191	24142
NAAA	ASAHL		27163
NAALAD2		NM_005467	10003
NAALADL1		NM_005468	10004
NAALADL2		NM_207015	254827
NAALADL2-AS1			100874245
NAALADL2-AS2			100874244
NAALADL2-AS3			100862679
NAB1		NM_005966	4664
NAB2		NM_005967	4665
NABP1	OBFC2A	NM_022837	64859
NABP2	OBFC2B	NM_024068	79035
NAC			
NACA		NM_005594	4666
NACA2	NACAL	NM_199290	342538
NACA3P		NG_005843	389240
NACA4P	NACAP1	NR_002182	83955
NACAD		NM_001146334	23148
NACAP2		NG_005845	651144
NACAP5		NG_022007	645108
NACAP6		NG_021840	100132778
NACAP7			101059973
NACAP8	NACAP3		101928685
NACAP9	NACAP4	NG_023678	100421926
NACAP10			100132812
NACB			
NACC1	BTBD14B	NM_052876	112939
NACC2	BTBD14A	NM_144653	138151
NADK		NM_023018	65220
NADK2	C5orf33, NADKD1	NM_153013	133686
NADK2-AS1	NADKD1-AS1		101056700
NADSYN1		NM_018161	55191
NAE1	APPBP1	NM_003905	8883
NAF1		NM_138386	92345
NAGA			4668
NAGK			55577
NAGLU		NM_000263	4669
NAGPA		NM_016256	51172
NAGPA-AS1		NR_038913	100507589
NAGR1			
NAGS		NM_153006	162417
NAIF1	C9orf90	NM_197956	203245
NAIP	BIRC1	NM_004536	4671
NAIPP1			728535
NAIPP2			728519
NAIPP3			643784
NAIPP4			653406
NALCN	VGCNL1	NM_052867	259232
NALCN-AS1			100885778
NALT1	MIR4674HG, LINC01573	NR_121577	101928483
NAMA		NR_102270	100996569
NAMPT	PBEF1	NM_182790	10135
NAMPTP1	PBEF2, NAMPTL	NG_005593	646309
NAMPTP2			100132712
NAMPTP3			106480319
NAMSD			
NANOG		NM_024865	79923
NANOGNB			360030
NANOGNBP1		NG_031948	100859926
NANOGNBP2			101060006
NANOGNBP3			100652831
NANOGP1			404635
NANOGP2		NG_004099	414131
NANOGP3		NG_004095	340217
NANOGP4		NG_004100	414132
NANOGP5		NG_004101	414133
NANOGP6		NG_004102	414134
NANOGP7		NG_004098	414130
NANOGP8		NG_004093	388112
NANOGP9		NG_004097	349386
NANOGP10		NG_004096	349372
NANOGP11		NG_004103	414135
NANOS1			340719
NANOS2			339345
NANOS3		NM_001098622	342977
NANP	C20orf147, HDHD4	NM_152667	140838
NANS		NM_018946	54187
NANTA3			
NAP1L1		NM_139207	4673
NAP1L1P1			729561
NAP1L1P2			100128894
NAP1L1P3			100130335
NAP1L2		NM_021963	4674
NAP1L3		NM_004538	4675
NAP1L4		NM_005969	4676
NAP1L4P1			728589
NAP1L4P2			100874319
NAP1L4P3			730174
NAP1L5		NM_153757	266812
NAP1L6P	NAP1L6	NR_027291	645996
NAPA		NM_003827	8775
NAPA-AS1		NR_038452	100505681
NAPB		NM_022080	63908
NAPEPLD		NM_198990	222236
NAPG		NM_003826	8774
NAPGP1		NG_022185	100288843
NAPGP2		NG_025807	100422429
NAPRT	NAPRT1	NM_145201	93100
NAPSA		NM_004851	9476
NAPSB		XR_000169	256236
NARF		NM_031968	26502
NARF-AS1			111082991
NARF-IT1	NARF-OT1		100506001
NARS1	NARS	NM_004539	4677
NARS1P1	NARSP, NARSP1	NG_002505	319127
NARS1P2	NARSP2		100287895
NARS2	DFNB94	NM_024678	79731
NASP		NM_002482	4678
NASPP1		NG_002431	282694
NAT1	AAC1	NM_000662	9
NAT2	AAC2	NM_000015	10
NAT8		NM_003960	9027
NAT8B		NM_016347	51471
NAT8L		NM_178557	339983
NAT9		NM_015654	26151
NAT10		NM_024662	55226
NAT14		NM_020378	57106
NAT16	C7orf52	NM_198571	375607
NATD1	C17orf103	NM_152914	256302
NATP	AACP		11
NAV1		NM_020443	89796
NAV2		NM_145117	89797
NAV2-AS1			100874015
NAV2-AS2			100874014
NAV2-AS3			100874013
NAV2-AS4			399876
NAV2-AS5			100874012
NAV2-IT1			100874305
NAV3		NM_001024383	89795
NAXD	CARKD	NM_018210	55739
NAXE	APOA1BP	NM_144772	128240
NBAS		NM_015909	51594
NBAT1	CASC14	NR_034143	729177
NBCCS			
NBDY	LINC01420	NM_001348129	550643
NBEA		NM_015678	26960
NBEA-AS1			
NBEAL1	ALS2CR17, ALS2CR16	NM_001114132	65065
NBEAL2		NM_015175	23218
NBEAP1	BCL8	NR_027992	606
NBEAP2		NG_023729	100418881
NBEAP3		NG_027403	100418905
NBEAP4		NG_025284	100418897
NBEAP5			100418903
NBEAP6		NG_027320	100418904
NBIA1			
NBL1		NM_005380	4681
NBN	NBS, NBS1	NM_001024688	4683
NBP1			
NBPF1		NM_017940	55672
NBPF2P			343381
NBPF3		NM_032264	84224
NBPF4		NM_152488	148545
NBPF5P	NBPF5	NG_028895	100507044
NBPF6		NM_001143988	653149
NBPF7		NM_001047980	343505
NBPF8	NBPF8P	NM_001037501	728841
NBPF9		NM_001037675	400818
NBPF10		NM_001039703	100132406
NBPF11	NBPF24	NM_183372	200030
NBPF12	KIAA1245	NM_001278141	149013
NBPF13P			644861
NBPF14		NM_015383	25832
NBPF15	NBPF16	NM_173638	284565
NBPF16			
NBPF17P	NBPF23P, NBPF23		401967
NBPF18P			441908
NBPF19			101060226
NBPF20			100288142
NBPF21P		XM_497917	205655
NBPF22P		XM_208333	285622
NBPF23P	NBPF23		
NBPF24			
NBPF25P			101929780
NBPF26			101060684
NBR1	M17S2	NM_005899	4077
NBR2		NR_003108	10230
NCA			
NCAD			
NCALD			83988
NCAM1		NM_000615	4684
NCAM1-AS1			100288346
NCAM2		NM_004540	4685
NCAN	CSPG3	NM_004386	1463
NCAPD2		NM_014865	9918
NCAPD2P1		NG_026451	100421175
NCAPD3		NM_015261	23310
NCAPG		NM_022346	64151
NCAPG2	LUZP5	NM_017760	54892
NCAPGP1			100421096
NCAPGP2			100421148
NCAPH	BRRN1	NM_015341	23397
NCAPH2		NM_152299	29781
NCBP1	NCBP	NM_002486	4686
NCBP2		NM_007362	22916
NCBP2-AS1			100874001
NCBP2AS2	NCBP2-AS2	NM_138487	152217
NCBP2L		NM_001348372	392517
NCBP3	C17orf85	NM_018553	55421
NCCRP1		NM_001001414	342897
NCDN		NM_014284	23154
NCEH1	AADACL1	NM_020792	57552
NCF1		NM_000265	653361
NCF1B		NR_003186	654816
NCF1C		NR_003187	654817
NCF2		NM_000433	4688
NCF4		NM_000631	4689
NCF4-AS1			107985578
NCK			
NCK1	NCK	NM_006153	4690
NCK1-DT	NCK1-AS1	NR_110175	101927597
NCK2		NM_003581	8440
NCKAP1		NM_205842	10787
NCKAP1L	HEM1	NM_005337	3071
NCKAP5		NM_207481	344148
NCKAP5-AS1		NR_135572	101928185
NCKAP5-AS2		NR_110294	101928161
NCKAP5-IT1			100874346
NCKAP5L	KIAA1602	NM_001037806	57701
NCKIPSD		NM_016453	51517
NCL		NM_005381	4691
NCLN		NM_020170	56926
NCLP1		NG_012793	100302751
NCLP2		NG_016573	100379142
NCMAP	C1orf130	NM_001010980	400746
NCMAP-DT		NR_109781	100506985
NCOA1		NM_147223	8648
NCOA2			10499
NCOA3		NM_006534	8202
NCOA4		NM_005437	8031
NCOA4P1	NCOA4P	NG_002594	326605
NCOA4P2			728333
NCOA4P3			729497
NCOA4P4			642262
NCOA5		NM_020967	57727
NCOA6		NM_014071	23054
NCOA7		NM_001199619	135112
NCOA7-AS1			104355145
NCOR1		NM_006311	9611
NCOR1P1	C20orf191		149934
NCOR1P2			729490
NCOR1P3			100874183
NCOR2		NM_006312	9612
NCR1	LY94		9437
NCR2	LY95		9436
NCR3	LY117		259197
NCR3LG1		NM_001202439	374383
NCRNA00055	CXYorf9		
NCRNA00056	CXorf47		
NCRNA00090			
NCRNA00091	CXYorf7		
NCRNA00098	C21orf20		
NCRNA00103	CXYorf12		
NCRNA00104	CXYorf6		
NCRNA00185	CYorf14		
NCRNA00220	C14orf95		
NCRNA00250	C8orf24		
NCRNA00270			
NCRNA00270B			
NCRNA00291	C14orf25		
NCRUPAR		NR_028375	100302746
NCS1	FREQ	NM_014286	23413
NCSTN		NM_015331	23385
NCSTNP1			100873743
NCX1			
NDC1	TMEM48	NM_018087	55706
NDC80	KNTC2	NM_006101	10403
NDE1		NM_017668	54820
NDE1P1			100422372
NDE1P2			106480247
NDEL1		NM_030808	81565
NDFIP1		NM_030571	80762
NDFIP1P1			100420792
NDFIP2			54602
NDFIP2-AS1			100874208
NDN		NM_002487	4692
NDNF	C4orf31	NM_024574	79625
NDNL1			
NDOR1		NM_014434	27158
NDP	EVR2	NM_000266	4693
NDP-AS1			100873919
NDRG1	CAP43		10397
NDRG2			57447
NDRG3			57446
NDRG4			65009
NDST1	HSST	NM_001543	3340
NDST1-AS1		NR_105061	102546298
NDST2		NM_003635	8509
NDST3		NM_004784	9348
NDST4		NM_022569	64579
NDUFA1		NM_004541	4694
NDUFA2		NM_002488	4695
NDUFA3		NM_004542	4696
NDUFA3P1		NG_030059	100131388
NDUFA3P2			106479051
NDUFA3P3		NG_030212	644482
NDUFA3P4			106480806
NDUFA3P5			112272577
NDUFA3P6			106479052
NDUFA4		NM_002489	4697
NDUFA4L2		NM_020142	56901
NDUFA4P1		NG_002998	360165
NDUFA4P2	NDUFA4L		100287880
NDUFA5		NM_005000	4698
NDUFA5P1			4699
NDUFA5P2			102724035
NDUFA5P3			100288035
NDUFA5P4			100128136
NDUFA5P5			100130327
NDUFA5P6			100288339
NDUFA5P7			106481784
NDUFA5P8			103091863
NDUFA5P9			100289579
NDUFA5P10			102724853
NDUFA5P11			102724866
NDUFA5P12			100288013
NDUFA6		NM_002490	4700
NDUFA6-DT	NDUFA6-AS1	NR_034118	100132273
NDUFA7		NM_005001	4701
NDUFA8		NM_014222	4702
NDUFA8P1			107075207
NDUFA9	NDUFS2L	NM_005002	4704
NDUFA9P1		NG_002366	266625
NDUFA10		NM_004544	4705
NDUFA11		NM_175614	126328
NDUFA12		NM_018838	55967
NDUFA12P1		NG_027984	100527945
NDUFA13		NM_015965	51079
NDUFAB1		NM_005003	4706
NDUFAB1P1			107075303
NDUFAF1		NM_016013	51103
NDUFAF2	NDUFA12L	NM_174889	91942
NDUFAF3	C3orf60	NM_199069	25915
NDUFAF4	C6orf66	NM_014165	29078
NDUFAF4P1		NR_036507	100306975
NDUFAF4P2			402676
NDUFAF4P3			100422532
NDUFAF4P4			100128889
NDUFAF5	C20orf7	NM_001039375	79133
NDUFAF6	C8orf38	NM_152416	137682
NDUFAF7	C2orf56	NM_144736	55471
NDUFAF8	C17orf89	NM_001086521	284184
NDUFB1		NM_004545	4707
NDUFB1P1	NDUFB1P	NG_008709	100190952
NDUFB1P2		NG_016728	100380272
NDUFB2		NM_004546	4708
NDUFB2-AS1		NR_024454	100134713
NDUFB2P1			107075208
NDUFB3		NM_002491	4709
NDUFB3P1		NG_000954	93993
NDUFB3P2			93994
